Iteration,BestFitness,Time,Load,Price
0,9.743235,0.000000,0.000000,0.000000
1,9.743235,0.000000,0.000000,0.000000
2,9.743235,0.000000,0.000000,0.000000
3,9.743235,0.000000,0.000000,0.000000
4,9.743235,0.000000,0.000000,0.000000
5,9.743235,0.000000,0.000000,0.000000
6,9.743235,0.000000,0.000000,0.000000
7,9.743235,0.000000,0.000000,0.000000
8,9.743235,0.000000,0.000000,0.000000
9,9.743235,0.000000,0.000000,0.000000
10,9.743235,0.000000,0.000000,0.000000
11,9.743235,0.000000,0.000000,0.000000
12,9.743235,0.000000,0.000000,0.000000
13,9.743235,0.000000,0.000000,0.000000
14,9.743235,0.000000,0.000000,0.000000
15,9.743235,0.000000,0.000000,0.000000
16,9.743235,0.000000,0.000000,0.000000
17,9.743235,0.000000,0.000000,0.000000
18,9.743235,0.000000,0.000000,0.000000
19,9.743235,0.000000,0.000000,0.000000
