Iteration,BestFitness,Time,Load,Price
0,6.673091,0.000000,0.000000,0.000000
1,6.673091,0.000000,0.000000,0.000000
2,6.673091,0.000000,0.000000,0.000000
3,6.673091,0.000000,0.000000,0.000000
4,6.673091,0.000000,0.000000,0.000000
5,6.673091,0.000000,0.000000,0.000000
6,6.673091,0.000000,0.000000,0.000000
7,6.673091,0.000000,0.000000,0.000000
8,6.673091,0.000000,0.000000,0.000000
9,6.673091,0.000000,0.000000,0.000000
10,6.673091,0.000000,0.000000,0.000000
11,6.673091,0.000000,0.000000,0.000000
12,6.673091,0.000000,0.000000,0.000000
13,6.673091,0.000000,0.000000,0.000000
14,6.673091,0.000000,0.000000,0.000000
15,6.673091,0.000000,0.000000,0.000000
16,6.673091,0.000000,0.000000,0.000000
17,6.673091,0.000000,0.000000,0.000000
18,6.673091,0.000000,0.000000,0.000000
19,6.673091,0.000000,0.000000,0.000000
