Iteration,BestFitness,Time,Load,Price
0,6.232079,0.000000,0.000000,0.000000
1,6.232079,0.000000,0.000000,0.000000
2,6.232079,0.000000,0.000000,0.000000
3,5.900382,0.000000,0.000000,0.000000
4,5.900382,0.000000,0.000000,0.000000
5,5.900382,0.000000,0.000000,0.000000
6,5.900382,0.000000,0.000000,0.000000
7,5.900382,0.000000,0.000000,0.000000
8,5.900382,0.000000,0.000000,0.000000
9,5.900382,0.000000,0.000000,0.000000
10,5.900382,0.000000,0.000000,0.000000
11,5.900382,0.000000,0.000000,0.000000
12,5.900382,0.000000,0.000000,0.000000
13,5.900382,0.000000,0.000000,0.000000
14,5.900382,0.000000,0.000000,0.000000
15,5.900382,0.000000,0.000000,0.000000
16,5.900382,0.000000,0.000000,0.000000
17,5.900382,0.000000,0.000000,0.000000
18,5.900382,0.000000,0.000000,0.000000
19,5.900382,0.000000,0.000000,0.000000
