Iteration,BestFitness,Time,Load,Price
0,14.098269,0.000000,0.000000,0.000000
1,14.098269,0.000000,0.000000,0.000000
2,14.098269,0.000000,0.000000,0.000000
3,14.098269,0.000000,0.000000,0.000000
4,14.098269,0.000000,0.000000,0.000000
5,14.098269,0.000000,0.000000,0.000000
6,14.098269,0.000000,0.000000,0.000000
7,14.098269,0.000000,0.000000,0.000000
8,14.098269,0.000000,0.000000,0.000000
9,14.098269,0.000000,0.000000,0.000000
10,14.098269,0.000000,0.000000,0.000000
11,14.098269,0.000000,0.000000,0.000000
12,14.098269,0.000000,0.000000,0.000000
13,14.098269,0.000000,0.000000,0.000000
14,14.098269,0.000000,0.000000,0.000000
15,14.098269,0.000000,0.000000,0.000000
16,14.098269,0.000000,0.000000,0.000000
17,14.098269,0.000000,0.000000,0.000000
18,14.098269,0.000000,0.000000,0.000000
19,14.098269,0.000000,0.000000,0.000000
