Iteration,BestFitness,Time,Load,Price
0,18.571269,0.000000,0.000000,0.000000
1,18.571269,0.000000,0.000000,0.000000
2,18.571269,0.000000,0.000000,0.000000
3,18.571269,0.000000,0.000000,0.000000
4,18.571269,0.000000,0.000000,0.000000
5,18.571269,0.000000,0.000000,0.000000
6,18.571269,0.000000,0.000000,0.000000
7,18.571269,0.000000,0.000000,0.000000
8,18.571269,0.000000,0.000000,0.000000
9,18.571269,0.000000,0.000000,0.000000
10,18.571269,0.000000,0.000000,0.000000
11,18.571269,0.000000,0.000000,0.000000
12,18.571269,0.000000,0.000000,0.000000
13,18.571269,0.000000,0.000000,0.000000
14,18.571269,0.000000,0.000000,0.000000
15,18.571269,0.000000,0.000000,0.000000
16,18.571269,0.000000,0.000000,0.000000
17,18.571269,0.000000,0.000000,0.000000
18,18.571269,0.000000,0.000000,0.000000
19,18.571269,0.000000,0.000000,0.000000
