mode,experiment,algorithm,variant,weightProfile,vmProfile,perturbation,taskCount,vmCount,seed,populationSize,maxIterations,initialEvaluations,iterationEvaluations,localSearchEvaluations,totalEvaluations,normMakespan,normEnergy,normCost,normImbalance,makespan,energy,cost,imbalance,objective,cloudsimFinishedCloudlets,cloudsimMakespan,runtimeMs
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,200,50,48,20,20,20,400,20,440,32.81005587,112.95570625,233.41546175,1.02170556,49.78288431,151.10734316,238.44030153,1.45892629,1.32613071,200,50.73300319,547
formalfull,E4_main,CBO,CBO,W0_equal,default_4_to_1,NONE,200,50,48,20,20,20,400,0,420,32.81005587,112.95570625,233.41546175,1.02170556,64.53061224,186.69431243,247.19286645,1.71514553,1.58933428,200,65.60599171,349
formalfull,E4_main,GTO,GTO,W0_equal,default_4_to_1,NONE,200,50,48,20,20,20,400,0,420,32.81005587,112.95570625,233.41546175,1.02170556,68.01808067,193.42769848,246.23495476,1.82643876,1.65701641,200,68.87634214,280
formalfull,E4_main,WOA,WOA,W0_equal,default_4_to_1,NONE,200,50,48,20,20,20,400,0,420,32.81005587,112.95570625,233.41546175,1.02170556,63.22887324,182.52885140,244.57655788,1.72862926,1.57069342,200,64.16835681,395
formalfull,E4_main,HHO,HHO,W0_equal,default_4_to_1,NONE,200,50,48,20,20,20,400,0,420,32.81005587,112.95570625,233.41546175,1.02170556,69.96563574,196.99105428,245.34566369,1.89685335,1.69601984,200,70.74061856,435
formalfull,E4_main,GWO,GWO,W0_equal,default_4_to_1,NONE,200,50,48,20,20,20,400,0,420,32.81005587,112.95570625,233.41546175,1.02170556,67.95068027,193.67291330,246.92909291,1.81112575,1.65404210,200,69.14911565,198
formalfull,E4_main,DBO,DBO,W0_equal,default_4_to_1,NONE,200,50,48,20,20,20,400,0,420,32.81005587,112.95570625,233.41546175,1.02170556,69.42605634,196.53057080,246.54021617,1.85815360,1.68269931,200,70.40265700,214
formalfull,E4_main,PSO,PSO,W0_equal,default_4_to_1,NONE,200,50,48,20,20,20,400,0,420,32.81005587,112.95570625,233.41546175,1.02170556,72.43074792,203.05024043,247.00802806,1.92891209,1.73783848,200,73.43745152,281
formalfull,E4_main,AOA,AOA,W0_equal,default_4_to_1,NONE,200,50,48,20,20,20,400,0,420,32.81005587,112.95570625,233.41546175,1.02170556,72.67236842,204.51335561,248.73555851,1.90037520,1.73778540,200,73.73447368,78
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,500,50,48,20,20,20,400,20,440,84.49377593,292.66842178,609.96054946,1.00611065,129.48850575,397.17959045,629.35041626,1.41152584,1.33109009,500,131.93458660,694
formalfull,E4_main,CBO,CBO,W0_equal,default_4_to_1,NONE,500,50,48,20,20,20,400,0,420,84.49377593,292.66842178,609.96054946,1.00611065,181.49081803,517.01333756,650.04249000,1.81466545,1.69597117,500,184.59247078,257
formalfull,E4_main,GTO,GTO,W0_equal,default_4_to_1,NONE,500,50,48,20,20,20,400,0,420,84.49377593,292.66842178,609.96054946,1.00611065,171.39291465,494.41799023,647.23800246,1.73313960,1.62538524,500,173.60436393,163
formalfull,E4_main,WOA,WOA,W0_equal,default_4_to_1,NONE,500,50,48,20,20,20,400,0,420,84.49377593,292.66842178,609.96054946,1.00611065,185.25314465,524.29903899,649.04802774,1.85968022,1.72410440,500,188.21534591,113
formalfull,E4_main,HHO,HHO,W0_equal,default_4_to_1,NONE,500,50,48,20,20,20,400,0,420,84.49377593,292.66842178,609.96054946,1.00611065,177.55782313,507.67437216,647.98108316,1.79009928,1.66940767,500,180.42292517,73
formalfull,E4_main,GWO,GWO,W0_equal,default_4_to_1,NONE,500,50,48,20,20,20,400,0,420,84.49377593,292.66842178,609.96054946,1.00611065,180.04841402,513.54569454,649.20974758,1.80625913,1.68631117,500,182.80894594,93
formalfull,E4_main,DBO,DBO,W0_equal,default_4_to_1,NONE,500,50,48,20,20,20,400,0,420,84.49377593,292.66842178,609.96054946,1.00611065,177.75131579,506.93870208,645.93127954,1.80698707,1.67270793,500,180.09947368,76
formalfull,E4_main,PSO,PSO,W0_equal,default_4_to_1,NONE,500,50,48,20,20,20,400,0,420,84.49377593,292.66842178,609.96054946,1.00611065,172.14559387,495.41189656,646.20448679,1.74805833,1.63174470,500,174.67513410,78
formalfull,E4_main,AOA,AOA,W0_equal,default_4_to_1,NONE,500,50,48,20,20,20,400,0,420,84.49377593,292.66842178,609.96054946,1.00611065,169.61512027,489.34218551,644.76828289,1.73246907,1.61461045,500,171.59453608,77
formalfull,E4_main,LSCBO,LSCBO,W0_equal,default_4_to_1,LEVY,1000,50,48,20,20,20,400,20,440,165.05339806,572.59077667,1195.56358029,1.00223539,277.81884945,838.70037544,1251.69041536,1.48458263,1.41904244,1000,283.23984975,182
formalfull,E4_main,CBO,CBO,W0_equal,default_4_to_1,NONE,1000,50,48,20,20,20,400,0,420,165.05339806,572.59077667,1195.56358029,1.00223539,344.26360544,986.63242195,1268.80026410,1.77473822,1.66022754,1000,349.74435374,163
formalfull,E4_main,GTO,GTO,W0_equal,default_4_to_1,NONE,1000,50,48,20,20,20,400,0,420,165.05339806,572.59077667,1195.56358029,1.00223539,339.84641068,975.50419161,1265.33392982,1.76457972,1.64541947,1000,345.78093489,164
formalfull,E4_main,WOA,WOA,W0_equal,default_4_to_1,NONE,1000,50,48,20,20,20,400,0,420,165.05339806,572.59077667,1195.56358029,1.00223539,363.68760064,1031.87801954,1277.40235776,1.84219520,1.72802847,1000,368.17280193,173
formalfull,E4_main,HHO,HHO,W0_equal,default_4_to_1,NONE,1000,50,48,20,20,20,400,0,420,165.05339806,572.59077667,1195.56358029,1.00223539,351.25862069,1003.02517974,1272.07592094,1.79864952,1.68462934,1000,356.22111111,129
formalfull,E4_main,GWO,GWO,W0_equal,default_4_to_1,NONE,1000,50,48,20,20,20,400,0,420,165.05339806,572.59077667,1195.56358029,1.00223539,359.73024055,1020.48972898,1271.74353510,1.84328408,1.71615046,1000,363.79384880,184
formalfull,E4_main,DBO,DBO,W0_equal,default_4_to_1,NONE,1000,50,48,20,20,20,400,0,420,165.05339806,572.59077667,1195.56358029,1.00223539,340.33630952,977.23406513,1266.61058152,1.76245028,1.64665257,1000,346.09065476,145
formalfull,E4_main,PSO,PSO,W0_equal,default_4_to_1,NONE,1000,50,48,20,20,20,400,0,420,165.05339806,572.59077667,1195.56358029,1.00223539,338.43197279,974.18938495,1268.27141995,1.74657982,1.63882733,1000,343.69673469,151
formalfull,E4_main,AOA,AOA,W0_equal,default_4_to_1,NONE,1000,50,48,20,20,20,400,0,420,165.05339806,572.59077667,1195.56358029,1.00223539,357.27663230,1017.66243166,1275.85543086,1.81541157,1.70510688,1000,361.52716404,151
