Algorithm,TaskCount,Seed,Makespan,LoadBalanceRatio
CBO,500,66,170.2084,0.5936
WOA,500,66,170.2084,0.5936
LSCBO,500,67,176.1707,0.7252
CBO,500,67,176.5256,1.5287
WOA,500,67,184.3502,0.9464
LSCBO,500,68,150.0394,1.0539
CBO,500,68,166.2406,0.8110
WOA,500,68,162.3591,1.1951
LSCBO,500,69,149.7690,0.6579
CBO,500,69,161.6944,0.7745
WOA,500,69,151.6038,0.7782
LSCBO,500,70,172.2891,0.7541
CBO,500,70,180.9829,1.0413
WOA,500,70,175.7678,1.2493
LSCBO,500,71,179.0515,0.7471
CBO,500,71,166.5805,0.8195
WOA,500,71,158.7786,1.1492
LSCBO,500,72,170.2740,0.9383
CBO,500,72,218.4887,0.9545
WOA,500,72,184.5239,1.4920
LSCBO,1000,43,323.5324,0.5419
CBO,1000,43,321.4858,0.6847
WOA,1000,43,285.8737,1.7827
LSCBO,1000,44,298.6020,0.5597
CBO,1000,44,345.3668,0.7594
WOA,1000,44,311.1856,0.4667
LSCBO,1000,45,312.5768,1.6534
CBO,1000,45,333.9698,0.8288
WOA,1000,45,327.4805,2.0700
LSCBO,1000,46,321.2064,0.3154
CBO,1000,46,357.9304,1.4210
WOA,1000,46,325.6601,0.3258
LSCBO,1000,47,300.6638,0.4477
CBO,1000,47,315.3468,0.6988
WOA,1000,47,303.3450,0.5722
LSCBO,1000,48,342.7320,0.5124
CBO,1000,48,320.2412,0.9315
WOA,1000,48,319.9003,1.2529
LSCBO,1000,49,280.9809,0.4336
CBO,1000,49,321.6048,0.5723
WOA,1000,49,288.8024,0.3940
LSCBO,1000,50,301.5253,0.6350
CBO,1000,50,372.8949,0.4654
WOA,1000,50,319.7121,1.1156
LSCBO,1000,51,327.9186,0.4447
CBO,1000,51,360.0364,0.4686
WOA,1000,51,342.7097,0.4453
LSCBO,1000,52,364.5770,0.6766
CBO,1000,52,376.3938,0.6576
WOA,1000,52,363.8814,0.6178
LSCBO,1000,53,291.0218,0.4822
CBO,1000,53,332.9589,0.4396
WOA,1000,53,308.6063,0.5683
LSCBO,1000,54,305.5895,0.6642
CBO,1000,54,340.0265,0.8474
WOA,1000,54,306.5605,0.4674
LSCBO,1000,55,322.0105,0.3410
CBO,1000,55,334.6080,0.8197
WOA,1000,55,308.4579,0.4202
LSCBO,1000,56,297.2305,0.4742
CBO,1000,56,364.7436,1.5572
WOA,1000,56,334.5804,0.6796
LSCBO,1000,57,328.3900,1.7692
CBO,1000,57,376.4393,0.9266
WOA,1000,57,367.8050,0.5846
LSCBO,1000,58,281.9560,1.0190
CBO,1000,58,347.0555,0.4227
WOA,1000,58,360.6310,0.7052
LSCBO,1000,59,282.2784,0.5914
CBO,1000,59,348.5434,0.7196
WOA,1000,59,344.9306,0.4232
LSCBO,1000,60,290.4809,0.4582
CBO,1000,60,328.4627,1.0593
WOA,1000,60,300.8229,0.5367
LSCBO,1000,61,357.0804,0.3583
CBO,1000,61,342.5162,0.3828
WOA,1000,61,372.7088,0.4165
LSCBO,1000,62,229.9983,0.4658
CBO,1000,62,246.0095,0.3592
WOA,1000,62,242.0228,0.4013
LSCBO,1000,63,389.2406,0.6795
CBO,1000,63,400.7553,0.5414
WOA,1000,63,384.3454,0.7014
LSCBO,1000,64,356.1369,0.5038
CBO,1000,64,381.7774,0.8250
WOA,1000,64,353.3676,0.5902
LSCBO,1000,65,361.6137,0.4551
CBO,1000,65,391.5173,0.9694
WOA,1000,65,359.9928,1.8612
LSCBO,1000,66,281.9636,0.5224
CBO,1000,66,355.9372,0.8984
WOA,1000,66,301.0711,0.6650
LSCBO,1000,67,314.7317,1.3384
CBO,1000,67,362.9382,0.4210
WOA,1000,67,278.4300,0.4220
LSCBO,1000,68,287.8699,0.3845
CBO,1000,68,316.8934,0.3591
WOA,1000,68,304.6346,0.3232
LSCBO,1000,69,286.8840,0.6687
CBO,1000,69,305.4107,0.4851
WOA,1000,69,283.1058,1.0622
LSCBO,1000,70,316.2838,0.6124
CBO,1000,70,346.2941,0.7725
WOA,1000,70,348.3799,0.4288
LSCBO,1000,71,313.2948,0.3542
CBO,1000,71,339.1375,0.3878
WOA,1000,71,314.7978,0.3946
LSCBO,1000,72,323.4715,0.5207
CBO,1000,72,404.4700,0.6968
WOA,1000,72,403.2826,0.4641
LSCBO,2000,43,673.0142,0.3021
CBO,2000,43,671.6833,0.6938
WOA,2000,43,718.4792,0.3450
LSCBO,2000,44,621.6088,0.2947
CBO,2000,44,647.6558,0.3585
WOA,2000,44,671.1457,0.2918
LSCBO,2000,45,590.5392,1.9842
CBO,2000,45,661.5913,1.4539
WOA,2000,45,656.2060,3.8033
LSCBO,2000,46,702.3795,0.2503
CBO,2000,46,736.1650,1.3419
WOA,2000,46,710.1919,0.2931
LSCBO,2000,47,574.8866,0.4071
CBO,2000,47,698.5439,0.3378
WOA,2000,47,604.6893,0.3359
LSCBO,2000,48,605.3204,0.4124
CBO,2000,48,662.8174,0.6195
WOA,2000,48,667.8752,0.3055
LSCBO,2000,49,646.5222,0.3987
CBO,2000,49,698.2621,0.7166
WOA,2000,49,660.9166,3.1168
LSCBO,2000,50,663.5039,0.2333
CBO,2000,50,732.6791,2.1341
WOA,2000,50,675.3366,0.2996
LSCBO,2000,51,664.1707,0.4805
CBO,2000,51,696.0016,0.7197
WOA,2000,51,707.5056,2.7121
LSCBO,2000,52,690.3758,0.4437
CBO,2000,52,708.9052,1.4204
WOA,2000,52,739.9980,0.4648
LSCBO,2000,53,629.5633,0.2382
CBO,2000,53,715.4845,0.6450
WOA,2000,53,578.7082,0.4837
LSCBO,2000,54,588.1697,0.4346
CBO,2000,54,696.6290,0.3237
WOA,2000,54,682.0841,1.0440
LSCBO,2000,55,610.3683,0.2969
CBO,2000,55,664.1597,0.3186
WOA,2000,55,658.4267,0.2918
LSCBO,2000,56,630.1608,0.4041
CBO,2000,56,682.0119,0.3215
WOA,2000,56,642.4739,0.5272
LSCBO,2000,57,665.6908,0.3304
CBO,2000,57,694.0823,0.3048
WOA,2000,57,654.8856,0.4932
LSCBO,2000,58,626.0348,0.2555
CBO,2000,58,655.8311,0.2387
WOA,2000,58,622.0155,0.7085
LSCBO,2000,59,644.5614,0.2953
CBO,2000,59,682.2141,0.6456
WOA,2000,59,602.2042,0.3850
LSCBO,2000,60,593.4541,0.4321
CBO,2000,60,664.0000,0.2950
WOA,2000,60,600.0590,0.2841
LSCBO,2000,61,682.2206,0.2507
CBO,2000,61,708.0204,0.2591
WOA,2000,61,659.9570,0.2461
LSCBO,2000,62,480.1800,0.3164
CBO,2000,62,523.5080,0.3610
WOA,2000,62,487.0422,0.3061
LSCBO,2000,63,739.7692,0.2592
CBO,2000,63,795.1955,0.5924
WOA,2000,63,753.2993,0.3533
LSCBO,2000,64,690.8968,0.3100
CBO,2000,64,739.6592,0.3533
WOA,2000,64,727.2512,0.3459
LSCBO,2000,65,629.2215,1.0045
CBO,2000,65,719.9267,2.4902
WOA,2000,65,686.9012,1.1956
LSCBO,2000,66,582.5453,0.2590
CBO,2000,66,669.5699,0.2763
WOA,2000,66,610.3518,0.2536
LSCBO,2000,67,655.8131,0.3173
CBO,2000,67,699.8764,0.3092
WOA,2000,67,646.9034,0.5885
LSCBO,2000,68,532.6080,0.3168
CBO,2000,68,592.7050,0.3457
WOA,2000,68,564.0111,0.3170
LSCBO,2000,69,515.0355,0.4162
CBO,2000,69,596.7500,0.7327
WOA,2000,69,511.8097,0.5212
LSCBO,2000,70,665.7932,0.4625
CBO,2000,70,689.1426,0.7733
WOA,2000,70,704.8711,0.3479
LSCBO,2000,71,635.3507,0.5442
CBO,2000,71,672.6882,0.6185
WOA,2000,71,663.8145,0.3196
LSCBO,2000,72,726.4159,0.3145
CBO,2000,72,776.7840,0.2215
WOA,2000,72,775.6759,0.2259
